service_name,organisation_name,description,address,categories,email,website,facebook,phone,facilities,access_options,opening_times,accreditation
Homecare Plus,Age Cymru Swansea Bay,"Our Homecare Plus services are now available across Swansea, Neath Port Talbot and Bridgend. For information on any of the services listed, contact our Homecare Plus team directly on: 01792 589 654.Let us look after you and your home, no matter what your age•	Meal preparation•	Hairdressing•	Foot care•	Domestic cleaning services•	Gardening services•	Home MaintenanceAll our contractors are Quality checkedWe want you to have the best service from reliable, local and trustworthy contractors.Homecare Plus is:•	Hassle free service•	Safe & reliable contractors•	We organise the work for you•	Helps fund our charitable services01792 58 96 54www.agecymruswanseabay.org.ukhomecareplus@agecymruswanseabay.org.uk","Ty Davies,,Tawe Business Park,Llansamlet,SA7 9LA","Older People,Community,Disability,Health and social care",enquiries@agecymruswanseabay.org.uk,http://www.agecymruswanseabay.org.uk,https://www.facebook.com/AgeCymruSwanseaBay,01792 589654,"Toilets,Kitchen,Parking,Disabled access,Disabled toilet","Self referrral,Agency referral",,
Challenging Racism and Far Right Extremism,Ethnic Minorities & Youth Support Team Wales,One to one or group based work with young people to challenge racist and far right extremist views and ideology through education,"Unit C,11 St Helens Road,Swansea,SA1 4AB","Ethnic minorities,Youth",nicky@eyst.org.uk,,,01792 466980,"Toilets,Kitchen,IT,Internet (wifi),Disabled access,Disabled toilet,Internet  (no wifi)","Self referrral,Agency referral",,
Mixtup Youth Club,Ethnic Minorities & Youth Support Team Wales,Monthly Youth Club for Young People with Mixed Abilities including Physical and Learning Disabilities,"Unit B,11 St Helens Road,Swansea,SA1 4AB","Ethnic minorities,Youth",alex@eyst.org.uk,,,01792 466980,"Toilets,Kitchen,IT,Internet (wifi),Disabled access,Disabled toilet,Internet  (no wifi)","Drop in,Self referrral,Agency referral,By appointment only",,
Alzheimer's Society (South Wales Office),Alzheimer's Society (South Wales Office),"At Alzheimer's Society, we believe passionately that life doesn't end when dementia begins. We are here for anyone affected by dementia, and we do everything we can to keep people with dementia connected to their lives and the people who matter most.","South Wales Area Office,16 Columbus Walk, Atlantic Wharf,Cardiff,CF10 4BY","Older People,Mental Health,Advice and advocacy,Health and social care",,,,02920 475570,,"Self referrral,Agency referral",,
Support to the Elderly,Age Cymru Afan Nedd,"Daily Lunches; weekly armchair exercises, occasional bingo; monthly Solicitor and Tax Advisor; Monthly Chiropodist and Hairdresser. Information and Advice re community care, consumer issues, benefits entitlements and debt management","Riverside Centre,Riverside Walk,Port Talbot,SA13 1PH","Older People,Health and social care,Sport and recreation",enquiries@agecymruafannedd.org.uk,,,01639 895202,"Toilets,Kitchen,Dance floor,Parking,Disabled access,Disabled toilet","Drop in,Self referrral,Agency referral",,
Baglan RFC,Baglan RFC,Senior team Junior Section with 7 teams from age of 5 up to 13 (school year 8),"TY-iSOFT Field,Thorney Road,Baglan,SA12 8LW",Sport and recreation,,,,01639 812010,"Toilets,Kitchen,Dance floor,Parking,Disabled access,Disabled toilet",,,
Community support for offenders,Barnardo's Community Support for Offenders families,"The project supports children and families who are affected by the imprisonment of a family member. What we do Support for families: - direct support for parents/carers and young people - information relating to prison visits - providing a link between families, prisons and Probation - a chance to speak confidentially about concerns relating to offending in the family - giving the opportunity for children to have their voices heard Raising awareness of the impact of children and families affected by parental imprisonment: - by delivering briefings and training to agencies to enable them to support families across Wales - offering support and best practice models to other organisations/partners.","19-20 London Road,,Neath,SA11 1LE","Children and Families,Community justice,Youth",csof@barnardos.org.uk,,,01639 620771,,"Self referrral,Agency referral",,
Borough Football Club,Borough football Club,Male Football Group from 16-50,"Neath Sports Centre,Court Herbert Playing field,Neath Abbey Road,,SA10 7BE",Sport and recreation,,,,01639 698635,,,,
Karate tuition,Afan Lido karate Club,To teach Karate to all ages and all standard of fitness,"Baglan Community Centre,Hawthorne avenue,Baglan,SA12 8PG",Sport and recreation,welshbushi-Kai.karate@sky.com,,,07880 704991,"Toilets,Kitchen,Dance floor,Parking,Disabled access,Disabled toilet",Drop in,,
Afasic Cymru,Afasic Cymru,"The Only charity in wales representing children and young people who have speech, Language 'amp; communication needs (SLCN); offering support and information to parents/carers and professionals. Run a youth club in Neath specifically for young people aged 11-117 who have SLCN.","203 Titan House,,Lewis Road,CARDIFF,CF24 5BS","Advice and advocacy,Children and Families,Disability,Health and social care,Youth",jeannette@afasiccymru.org.uk,,,029 2046 5854,"Toilets,Parking,Disabled access",By appointment only,,
Breathe Easy Neath Valley,Breathe Easy Neath Valley,"A support group for all people living with lung conditions and their carers. We meet once a month for lunch, apart from our regular meetings, and arrange outings throughout the year offering social support.","Owain Glyndwr,Community Hall,Dwr Y feline Rd,SA10 7BZ","Older People,Disability,Health and social care",,,,03000 030 555,"Toilets,Parking,Disabled access,Hearing loop,Disabled toilet",Drop in,,
Briton Ferry Health and Well Being group,Briton Ferry Health and Well-being group,"An exercise class aimed at the over 60s encouraging fitness, physical and mental agility, re-engaging following illness and involvement in social activities.","St Mary Church Hall,Shelone Road,,Briton Ferry,SA11 2NH","Older People,Mental Health,Health and social care",anngeorgee8@hotmail.co.uk,,,01639 680294,"Toilets,Kitchen,Dance floor,Parking,Disabled access,Disabled toilet",Drop in,,
Cancer information services,Cancer information and support services,"CISS offer emotional support and counselling to anyone affected by Cancer, whether they are a patient, carer, family member or friend. Our free service covers south west wales and for those unable to come into one of our centres, our unique outreach service can take our support to your home, place of work or other convenient location.","Dyfed Road Surgery,Baglan,SA11 3AW","Older People,Mental Health,Children and Families,Health and social care,Youth",info@cancerinformation.org.uk,,,01639 642333,"Toilets,Parking,Disabled access,Disabled toilet",By appointment only,,
The Terry Hetherington Young Writers Award,Cheval: The Terry Hetherington Young Writers Award,"Cheval was set up in 2009 in memory of the late poet Terry Hetherington. Cheval's purpose is to provide a platform for young people to express themselves through the medium of poetry and prose. On a monthly basis, Cheval hold a Poems 'amp; Pints open mic evening in the Neath area. The funds raised from this event help to fund the Young Writers Award.£1000 prize annually to a young writer between the ages of 18 and 30 years of age","60 Lewis Road,Neath,SA11 1DX","Arts/Culture/Heritage,Youth",,http://chevalwriters.org.uk/,,,,,,
Cwmtawe Ladies Hockey Club,Cwmtawe Ladies Hockey club,Hockey club for 6yrs (boys and girls) to adult,"Cart Herbert,Neath,SA10 7BE",Sport and recreation,,,,,"Toilets,Parking",,,
Volunteer Befriending,Deaf Blind Cymru,Volunteer befrienders visit members with combined sight and hearing loss within the community enabling individuals to once again do the things they used to enjoy and lessen social isolation.,,"Older People,Disability,Health and social care",nerys.leeke@deafblind.org.uk,,,07940 895575,,By appointment only,,
Field Studies Council Environmental education,Field Studies Council,Outdoor education facility,"Margam Discovery Centre,Margam Park,Margam,SA13 2UA","Education and training,Environment",enquiries.mp@field-studies-council.org,,,,"Toilets,Kitchen,IT,Internet (wifi),Dance floor,Disabled access,Hearing loop,Disabled toilet,Internet  (no wifi)",,,
Girlguiding Cymru - Neath,Girlguiding Cymru- Neath,We are the leading charity for girls and young women in the UK. We build girls confidence and raise their aspirations. We give them the chance to discover their full potential and encourage them to be a powerful force for good. We give them space to have fun. (For girls aged 5-26. Volunteers of any age welcome.) To find details of your local Neath gorup or to register your child enter details at www.girlguiding.org.uk,,"Arts/Culture/Heritage,Sport and recreation,Volunteering,Youth",julie.edwards@girlguiding.org.uk,,,01639 698486,"Toilets,Kitchen,Parking","Self referrral,Agency referral,By appointment only",,
Neath & District Sea Cadets and Royal Marine Cadets,Neath and District Sea Cadet and Royal Marine Cadets,"We are Neath Sea Cadets and part of the UK's oldest nautical youth charity. As a sea cadet you can go to sea, learn to sail and do adventure training, plus get extra skills to give you a great head start in life.","Rear of regents street,,West Briton Ferry,SA11 2PL","Education and training,Youth",neathseacadets@ntlworld.com,,,01639 794145,"Toilets,Kitchen,IT,Internet (wifi),Internet  (no wifi)",By appointment only,,
Neath Hockey Club,Neath Hockey Club,"Men's Hockey Club for people aged 14-year 'amp; above, but have strong links with ladies hockey club for female members.","Cwrt Hebert Playing Fields,,Neath sports Centre,Roman Way,SA10 7BE",Sport and recreation,,,,0845123 2234,"Toilets,Parking,Disabled access,Disabled toilet",,,
The Ropewalk,Neath Methodist Church,We provide services of Christian worship and rites of passage; rooms for community use; a monthly lunch for those who are elderly or alone.,"Lewis Road,Neath,SA11 1DZ","Older People,Community,Religion",chrisgray99@btinternet.com,,,01639 644404,"Toilets,Kitchen,Hearing loop",Drop in,,
Neath Port Talbot Community Transport,Neath Port Talbot Community Transport,Provision of low cost accessible transport for individuals and organisations whose needs cannot be met by existing transport provision.,"Unit 8,Milland Road,Industrial Estate,SA11 1NJ","Older People,Disability,Health and social care",info@nptct.co.uk,,,01639 646969,Disabled access,By appointment only,,
Celtic Leisure,Neath Port Talbot Leisure Limited (Known as Celtic Leisure),Celtic leisure operates 8 leisure facilities and 1 cultural venue on behalf of Neath Port Talbot County Borough Council.,"Neath Leisure Centre,,Dyfed Road,,Neath,SA11 3AW",Sport and recreation,hms@celticleisure.org,,,0845 1232238,,"Drop in,By appointment only",,
Neath Port Talbot Parkinson's Group,Neath Port Talbot Parkinson's support Group,Providing on going support for people diagnosed with Parkinson's,"Cadoxton Community Centre Main Road,Cadoxton,Neath,SA10 8AS","Older People,Mental Health,Disability,Health and social care",alan.gibbon@yahoo.co.uk,,,01639 769144,"Toilets,Kitchen,Parking,Disabled access",Drop in,,
Neath town centre scooter and wheelchair hire,Neath Port Talbot Shopmobility Ltd,Hire of scooters and wheelchairs in Neath town centre for shopping and weekly wheelchair hire,"Ground Floor Shopping Unit, Multi-Storey Car Park,Prince of Wales Drive,Neath,SA11 3EW","Older People,Disability",neath.shopmo@tiscali.co.uk,,,01639 637372,,Drop in,,
Neath YMCA,Neath YMCA,"Established in 1875, Neath YMCA is a non profit making charitable association serving the people of the Neath North Ward and surrounding areas. A thriving community based organisation providing a wide range of educational, recreational and sporting activities for people of all ages from pre-school children through to senior citizens.","Lletty Nedd,,Pen Y Dre,Neath,SA11 3HG","Older People,Education and training,Sport and recreation,Youth",info@neathymca.org.uk,,,01639 769315,"Toilets,Kitchen,IT,Internet (wifi),Parking,Disabled access,Disabled toilet,Internet  (no wifi)","Drop in,Self referrral,Agency referral,By appointment only",,
Neath Young Farmers,Neath Young Farmers Club,"We offer a place for young people to spend their time on a weekly basis, as well as the opportunity to train, compete, and socialise with others of their own age. The age limits are between 10 and 26. We operate as a registered charity and have lots for young people to get involved in.","Neath constitutional club,11 Orchard St,,Neath,SA11 1DT","Sport and recreation,Youth",neath.district.yfc@gmail.com,,,,,Drop in,,
Strides,NSA Afan,Employment related courses for people aged 16+ who are unemployed or economically inactive,"St Heliers drive,,sand fields,Port Talbot,SA12 7BE","Education and training,Employment,Youth",louise.gregory@nsaafan.co.uk,,,01639 893694,"Toilets,Kitchen,IT,Internet (wifi),Disabled access,Disabled toilet","Self referrral,Agency referral,By appointment only",,
PC CARE,NSA Afan,"ICT training, sales, repairs and recycling","NSA Afan Employment Academy,Dalton Road,Sandfields,SA12 6SF","Education and training,Environment",layton.emery@nsaafan.co.uk,,,01639 894398,Internet (wifi),"Drop in,By appointment only",,
NSA Development Centre,NSA Afan,Offering adult learning courses in the community,"Ty Arian, Silver Ave,SA12 7RX",Education and training,aled.davies@nsaafan.co.uk,,,01639 870067,,"Drop in,By appointment only",,
Youth Clubs,NSA Afan,"Youth activities for young people aged 11-24. Two centres, in sand fields and Aberavon.","1 Development Centre,Bevin Ave,Sandfields,SA12 6JW","Sport and recreation,Youth",sarah.mainwaring@nsaafan.co.uk,,,01639 870067,"Toilets,Kitchen,IT,Parking,Disabled access,Disabled toilet",Drop in,,
Neath Port Talbot Extreme,Neath Port Talbot Extreme,"We are a Not for Profit organisation of inter-generational youth's, helping to work within the community, helping support wheeled extreme sports via events and fundraising for better facilities and opportunities such as training and trips to skate parks.",,"Disability,Sport and recreation",nptext@outlook.com,,,,,"Drop in,Self referrral,Agency referral,By appointment only",,
NSA Afan Environment Project,NSA Afan,"To reduce fuel poverty, encourage the take up of renewal technologies, reduce greenhouse gasses and reduce energy consumption.","TY Arian,,Silver Ave,,Port Talbot,SA12 7RX","Education and training,Environment",robert.cherryman@nsaafan.co.uk,,,01639 870067,,"Drop in,Self referrral,Agency referral,By appointment only",,
NSA Afan Employment Academy,NSA Afan,"Training courses, community social groups and offer rooms for hire","Dalton Rd,sand fields,Port Talbot,SA12 6SF","Education and training,Employment",louise.gregory@nsaafan.co.uk,,,01639 895730,"Toilets,Kitchen,IT,Internet (wifi),Parking,Disabled access,Disabled toilet",,,
Parkinson's information and support services,Parkinson's UK Cymru,"Provide information and support to people with Parkinson's disease or related illness, also the carer/partner or family of the person. Home visits and assistance with forms, researching information for the client.",,"Older People,Mental Health,Advice and advocacy,Health and social care",admin.wales@parkinsons.org.uk,,,08440 000 000,,"Self referrral,Agency referral,By appointment only",,
Pontardawe Indoor Bowls Club,Pontardawe Indoor Bowls Club,For anyone interested in playing indoor Bowls,"Pontardawe Leisure Centre,,Parc Ynysderw,Pontardawe,SA8 4EG",Sport and recreation,pibc@celticleisure.org,,,01792 830120,"Toilets,Parking,Disabled access,Disabled toilet",,,
Swansea Friends of the Earth,Swansea Friends of the Earth,Campaigning to protect the environment,,"Environment,Community,Education and training",,,,01639 816600,,,,
Glamorgan House Family Development Contact Centre,Glamorgan House Family Development Centre,"We provide a safe, neutral meeting place for children and their absent family members. We offer different types of contact to cater to each family and their circumstances.","94 Walter Road,Swansea,SA1 5QE","Children and Families,Youth",glamorganhousefdc@gmail.com,,,01792 470003,"Toilets,Kitchen,Parking","Drop in,Self referrral,Agency referral",,
Connecting Learners in South and Mid Wales,Connecting Learners in South ' Mid Wales,"Connecting Learners provides fully funded learning opportunities for staff and volunteers working in a health and social care environment (NHS, Local Authorities, Third Sector and private/independent care sector)","Community Lives Consortium,24 Walter Road,Swansea,SA1 5NN","Education and training,Health and social care",karen.fisher@communitylives.co.uk,,,01792 646640,,By appointment only,,
Volunteer Role's within the charity,Noah's Ark Children's Hospital Charity For Wales,"Noah's Ark Fundraising team raise much needed funds to provide a free service to the children of Wales who come into our hospital. 100,000 sick and vulnerable children use the facilities each year since it opened.","Cardiff Royal Infirmary,Newport Rd,Cardiff,CF24 0SZ","Health and social care,Volunteering",linda@noahs-ark-appeal.org,,,02920 335016,,By appointment only,,
Noah's Ark Children's Hospital Charity For Wales,Noah's Ark Children's Hospital Charity For Wales,We give people the opportunity to volunteer for us and help us raise much needed funds for the hospital.,"Cardiff Royal Infirmary,Newport Rd,Cardiff,CF24 0SZ","Children and Families,Health and social care,Volunteering,Youth",linda@noahs-ark-appeal.org,,,02920 335016,,By appointment only,,
Surfability Uk CIC,Surfability UK CIC,"Surfing lessons for people with disabilities and learning difficulties.Surfability use adapted surfing equipment and a team approach to make surfing as inclusive as possible. Examples of equipment are; tandem surfboards, beach access wheelchairs, surfing helmets and ipads with picture symbol communication systems. We can include most people in surfing activities no matter what additional needs they have. Sessions available at Caswell Beach and the Leisure centre, Oystermouth Road","91a Newton Road,Mumbles,Swansea,SA3 4BN","Disability,Education and training,Sport and recreation",surfability.uk@gmail.com,,,07517230427,"Toilets,Parking,Disabled access",By appointment only,,
LGBT Cymru Helpline and Counselling Service,LGBT Cymru Helpline and Counselling Service,"We provide general information, advice and confidential support in many areas of life and around various issues that LGBT people, their families and friends might experience. We offer both telephone and face to face counselling by qualified staff.",,"Mental Health,Gender,Health and social care",line@lgbtcymruhelpline.org.uk,,,0800 840 2069,"Toilets,Kitchen,Internet (wifi),Parking,Disabled access,Internet  (no wifi)","Self referrral,Agency referral,By appointment only",,
"Cruse Bereavement Care, Morgannwg","Cruse Bereavement Care, Morgannwg",We offer bereavement support and counselling for all adults and children. Some visits are carried out of hours in office and at clients home,,"Mental Health,Health and social care",morgannwg@cruse.org.uk,,,01792 462845,,"Self referrral,Agency referral,By appointment only",,
Cruse Bereavement Care Morgannwg Training,"Cruse Bereavement Care, Morgannwg","We can provide training, advice and support on bereavement in the workplace and schools, colleges etc",,"Mental Health,Education and training,Health and social care",morgannwg@cruse.org.uk,,,01792 462845,,By appointment only,,
Missing People,Missing People,"We search for missing people on behalf of the friends and family left behind and provide specialised support to ease their heartache and confusion. Our free, confidential helpline is available 24 hours a day by 'phone, text and email to support missing children and adults, and their loved ones.",,,116000@missingpeople.org.uk,,,020 8392 4590,,,,
Swansea Community Farm,Swansea Community Farm,"City farm open to the public - as the only city farm in Wales we help to reconnect people of all ages, backgrounds and abilities with their food, their environment and each other through a unique and exciting range of educational, volunteering, training and play opportunities. Our 3.5 acre fully accessible site demonstrates a range of sustainability and nature conservation management techniques as well as hosting a range of rare and rare-Welsh breed farm animals. We also offer Education, Child and Youth and Volunteer and Training programmes. Our fully accessible, purpose designed grounds includes picnic and play areas, demonstration gardens, displays and a range of small farm animals (pigs, sheep, poultry, ducks and geese).","Swansea Community Farm,2 Pontarddulais Road,Fforestfach,SA5 4BA","Mental Health,Animal welfare,Community,Disability,Education and training,Volunteering",phil@swanseacommunityfarm.org.uk,,,01792 578384,"Toilets,Kitchen,Internet (wifi),Parking,Disabled access,Hearing loop,Disabled toilet",Drop in,,
Education Programme,Swansea Community Farm,"As one of the leading outdoor education providers in Swansea, we offer a unique range of hands on, experiential courses that reconnect learners with their food, their environment and each other on our purpose designed, fully accessible site in Fforestfach, Swansea. Primary school day visits and secondary school/college courses (6-10 weeks, accredited) and based on outdoor, practical, experiential learning and investigating a range of sustainable issues such as food, farming, composting, energy, sustainable building and arts and crafts. Our fully accessible, purpose designed grounds includes picnic and play areas, demonstration gardens, displays and a range of small farm animals (pigs, sheep, poultry, ducks and geese).","Swansea Community Farm,2 Pontarddulais Road,Fforestfach,SA5 4BA","Animal welfare,Children and Families,Community,Disability,Education and training,Environment",leila@swanseacommunityfarm.org.uk,,,01792 578384,"Toilets,Kitchen,Internet (wifi),Parking,Disabled access,Hearing loop,Disabled toilet","Self referrral,Agency referral,By appointment only",,
Volunteer and Training programme,Swansea Community Farm,"Adults can get stuck in with the day to day running, building and future development of a small working farm and community cafÃ©. The Farm offers a range of accredited and on the job training, volunteer opportunities (weekly Thursday workdays, fortnightly Woodwork Wednesdays, animal care rota and office admin), placements and referrals.Our fully accessible, purpose designed grounds includes picnic and play areas, demonstration gardens, displays and a range of small farm animals (pigs, sheep, poultry, ducks and geese).","Swansea Community Farm,2 Pontarddulais Road,Fforestfach,SA5 4BA","Mental Health,Animal welfare,Children and Families,Disability,Education and training,Youth",kate@swanseacommunityfarm.org.uk,,,01792 578384,"Toilets,Kitchen,Internet (wifi),Parking,Disabled access,Hearing loop,Disabled toilet","Self referrral,Agency referral,By appointment only",,
Swansea Music Art Dance CIC Video Production,Swansea Music Art Dance CIC,"We produce videos from start to finish. Interviews, Short documentaries and video evaluations","42 high Street,Swansea,SA1 1LT",,stu@madswansea.com,,,07947593646,,By appointment only,,
Dynamix,Dynamix,"Dynamix works with adults, children and young people in the community and also trains the professionals that support these groups. We use participative methods to engage communities in an inclusive way. Areas of our work include: Participation, Inclusion and Tackling in Equalities, Health and Well-being, Preparing for work and enterprise education, Children's rights and Play. We provide training, deliver engagement projects, facilitate events and give people a say. We are employed by Welsh Government, National charities, Local authorities, community groups, public authorities, etc",,"Community,Education and training",admin@dynamix.coop,,,01792 466231,,By appointment only,,
Gower Bird Hospital Wildlife rehabilitation,Gower Bird Hospital,"We specialise in rehabilitating injured wild birds and animals, advising the public with wildlife related enquiries and offering educational presentations","Sandy Lane,Pennard,Swansea,SA3 2EW","Animal welfare,Education and training",,,,01792 371630,,Drop in,,
"Jazz Heritage Wales, Multi-Media Resource",Jazz Heritage Wales,"A Collection of books, audio-visual recordings, photographs, oral histories, stage gowns, historical items, and memorabilia.","UWTSD (University of Wales Trinity St. David),Town Road Campus Library,Townhill Road,SA2 0UT",Arts/Culture/Heritage,jazzheritagewales@uwtsd.ac.uk,,,01792 482032,"Toilets,Kitchen,IT,Internet (wifi),Parking,Disabled access,Disabled toilet,Internet  (no wifi)",By appointment only,,
"Ethnic Youth Support Team, Training and Awareness Services",Ethnic Minorities & Youth Support Team Wales,"Training Courses and Awareness Sessions for Professionals and Young People on topics including: Racism, Islamophobia, Diversity, Refugee ' Asylum, Forced Marriage, Challenging Extremism, etc.","Unit B,11 St Helens Road,Swansea,SA1 4AB","Education and training,Ethnic minorities,Religion,Youth",training@eyst.org.uk,,,01792 466980,"Toilets,Kitchen,IT,Internet (wifi),Disabled access,Disabled toilet,Internet  (no wifi)",By appointment only,,
Play Right Playful Communities,Play Right,"Working with Grwp Gwalia residents to improve play opportunities in their local neighbourhood. Support through, play training, mentoring, event organising, mediation and play sessions* (*where funding exists).",,"Children and Families,Education and training",,,,01792 448484,,By appointment only,,
Play Right Pirate Ship,Play Right,"A 20 foot Wooden pirate ship available for hire at birthday parties, corporate events, summer festivals and community days.",,"Children and Families,Sport and recreation",,,,01792 448484,,By appointment only,,
Citizens Advice Swansea Neath Port Talbot ,Citizens Advice Swansea Neath Port Talbot,"We provide free, confidential and impartial advice and campaign on big issues affecting people's lives. Our goal is to help everyone find a way forward, whatever problems they face.  We help with everything from money issues to problems at work, housing to consumer rights.","Pleasant Street,Swansea,SA1 5DS","Advice and advocacy,Benefits advice,Employment",,,,03444772020,"Disabled access,Disabled toilet,Equipment,Internet (wifi),IT","Drop in,Self referrral,Agency referral",,AQS (Advice Quality Standard)
